komentar,label,label_prediksi
okeeeee,positif,positif
sangat bagus,positif,positif
mantaap,positif,positif
langgan premium aktif tetap sering muncul tawar sangat ganggu waktu nonton dikit muncul tawar langgan baik,negatif,negatif
love banget sama iqiyi,positif,positif
udh bli vip film trbaru blom kluar udh lewat jam padahal,negatif,negatif
nice good aplication,positif,positif
nonton bayar mending gratisngumpulkan koin gratis,negatif,negatif
cukup baik,positif,negatif
utama anime baru bagus,positif,positif
aplikasi baguss banget bayak drama cina tonton full,positif,positif
filmya lengkap,negatif,negatif
iklan banyak banget pake premium ajh mas iklan,negatif,negatif
good,positif,positif
kasih bintang karna artis favorit bai iqiyi hehe seru banget nonton moonlight mystique aaa salting,positif,positif
ga jelass iklan ber abad abad,negatif,negatif
baik mohon tingkat tahan tunggu drama china seru new life begins story of yanxi palace fangs of fortune destined story of kunning palace tahun nonton pake english sub tunggu drama china iqiyi moonlight mystique coroners diary shadow love lament of the river immortal the best thing dilist finished for filming and waiting for airing akun mydramalist akun mydramalist mumuhsklovers,positif,positif
lama pakai langgan aplikasi tp uang selalu kuras bayar langgan batal langgan hapus serta aplikasi tetap selalu hilang uang bagaimana kembali dana,negatif,negatif
susah masuk vipnya habis pulsa gx masuk,negatif,positif
have purchased vip member until nov however can not download the lock episodes please fix it,negatif,negatif
fitr bagus banyak drama nyelipin iklan apa premium kalau iklan nyamar jadi drama tau skip sakit hati udah vip premium,positif,negatif
banyakin series bl thailand ama bl korea donk blm yg baru nich yg bl korea sampe rewatch yg lama kali kali tambahin bintang kalo banyak bl,positif,negatif
tdk semua film hp putar smart tv padahal sdh vip,negatif,negatif
bagus film,positif,positif
gtw suka,positif,positif
bintang yg bicara,positif,negatif
bagus banget,positif,positif
good,positif,positif
mulu panjang langgan satu bulan,negatif,negatif
pernah hapus langganantapi bayar,negatif,negatif
apk yg sangat bagus,positif,positif
seruu bangettt pliss,positif,positif
minta batal panjang vip udah gk nonton iqiyi gk ditanggapin minta refund uang yg potong panjang otomatis,negatif,negatif
sangat bantu,positif,positif
banyak iklan udah pakek vip kasih iklan sangat menggangu aplikasi buruk,negatif,negatif
top,positif,positif
bagus,positif,positif
mantap,positif,positif
sukanonton sini drama bagus,positif,positif
aplikasi ga bner ga langgan tarik saldo dana otomatis kembali saldo,negatif,negatif
cerita bagus cinematographynya bagus masingmasing cerita garap bagus aktor maupun aktris actingnya jg keren,positif,positif
suara gambar subtitle cukup baik,positif,negatif
nntn ukur mantap aplikasi,positif,positif
poko the best,positif,positif
walaupun banyak iklan penting legal aplikasi bagus,positif,positif
bayus asik,positif,positif
selalu iklan,positif,negatif
sangat bagus sangat hibur,positif,positif
banyak donghua baik sedia platform,negatif,positif
aplikasi jelek film yg ga komplit terlalu banyak iklan tiap nonton menit timbul iklan iqiyi kurang bagus lebih bagus aplikasi,negatif,negatif
bagus,positif,positif
jelek vip,negatif,negatif
anyingg seruu terus ngejoss ga iklan pokok bintang,positif,negatif
kurang in iklan yah dann kalau episode jangan bayarrr ee,positif,negatif
apk bgus bgt pls sukaa jangan ubah ubah developer apk keren bgt dah asli,positif,positif
bagus,positif,positif
bagus bgf,positif,positif
kapan nonton anime legal aplikasi bagus animenya lengkap banyak premium suka animenya lengkap aplikasi bagus banget,positif,positif
suka banget sama iqiyi apa film drakor yg suka kalau rangin iklan,positif,negatif
sangat bagus tonton anime,positif,positif
apk ny bgs kom,positif,positif
gagal muat halaman terus padahal koneksi aman,negatif,negatif
bagus aplikasi gak masalah banyak iklan soal nonton gratis kalo mau skip iklan join vip yup,positif,negatif
iklan sama bug kurang banyak mantap,negatif,negatif
kereeennn,positif,positif
iklan uda kek kai bngst,negatif,negatif
mantap,positif,positif
mantap,positif,positif
bagus,positif,positif
semua anime lengkap cuma minus banyak iklan,positif,negatif
bagus,positif,positif
apa tiap ganti episode langsung iklan its oke klau cmn gaje bgt ni apk,negatif,negatif
gambar,positif,positif
lanjur langgan nyata gag adamaksimal uang dikembalikanhati guys,negatif,negatif
bagus,positif,positif
mtab langanannya,positif,positif
tayang film sangat baik,positif,positif
top banget sih app iklan kan viv iklan rekomend banget sih iqyi drama bagus wo ae ni iqyi,positif,negatif
like it,positif,positif
sangat bagus,positif,positif
sangat recomend,positif,positif
keren banget nonton iklan lansung nonton vip,positif,positif
jgn lupa makan ges,negatif,positif
bagusss bgttt ooyyyy soal gk lot ngedet ngedet,positif,positif
siap lanjut,positif,positif
maap iqiyi bulan lalu langgan jarang pake jadi ga niat lanjut rupa hari akhir uang langsung sedot pas henti langgan uang ga balik padahal baru ambil apa balik uang enggak berapa sih kan sayang rasa uang hilang siasia langgan udah batal ga pake malah uang ilang,positif,negatif
pilih film bsgus,positif,positif
vip jangan naiknaikin terus biasa daftar harga ribu skarang udah gak ributolong iniii jgn ruba terus,positif,negatif
mantap keren,positif,positif
aplikasi bagus cuman subtitlenya kacau jarak baris subtitle terlalu lebar terus ukur gak atur jadi kalau teks terlalu panjang biasa subtitlenya saling tindih terjemah musik ganggu,positif,negatif
banyak serial drama bagus free anime banyak koleksi,positif,positif
sengat bagus,positif,positif
apknya bagusss jadi nonton series suka ku,positif,positif
mantap,negatif,positif
aplikasi iqiyi donghua renegade immortalpemberontak abadi ahh mending alih wetv dahhh wkwkwk,negatif,negatif
bagus film,positif,positif
bagus bgt,positif,positif
bagus bgtt bikin baterai hp cepet habisboros bateraicara video video hd semua bagus bgt pokok,positif,positif
knapa iqiyi sekarang ga buka close terus hp,negatif,negatif
bagus bnget bayar jg cm iklan gk jngan iklan drama lgbt yg ulang kayak gk iklan tipe drama normal ken muntah,positif,negatif
