username,tanggal,bintang,komentar
XXXECTOR EL JOHAN DE VILLAIN,2025-06-24,1,jelekkk ga ada tokyo ghoul🤮
Reyfan Reyfan,2025-06-24,5,Aplikasi yang bagus anime lengkap dan kualitas bagus bayaran perbulan juga trgolong murah
PUBG MOBILE,2025-06-24,1,aplikasi nya bagus tapi anime terlalu sedikit agak kurang sih 🤔
El Kayangan,2025-06-24,1,aplikasinya sangat tidak jelas
Asep sewalow,2025-06-24,2,kirain gratis semua filem gak taunya harus bayar eumm
MS Channel,2025-06-23,1,"Saya hapus lagi, karena tidak ada anime ''Detective Conan'' 😭😭😭"
Hendrie Thanamal,2025-06-23,2,aplikasi gak bisa login padahal udah masukan imel nya udah benar aplikasi nya gak bisa dibuka dan kata sandi imel betul masih eror aplikasi tolong min di perbaiki aplikasi min tolong
Rha Dark flame,2025-06-23,3,"Crunchyroll, apk nonton anime legal bahkan lengkap, tapi sub kurang akurat, tiba-tiba gada sinyal pula, meski dikasih free 7 days, aku tak bisa dibungkam (kek sebelah) 😏"
Mizu No,2025-06-23,5,memuaskan
Muh renal aldin,2025-06-23,1,harap di perbaiki subtitle Indonesia
Farhan M Ashiddiq,2025-06-23,1,"kenapa anime yang ingin ku tonton tidak ada seperti contohnya anime tokyo ghoul di server Indonesia tidak ada tapi saat di chek di website itu ada dan saat ku tekan malah ada tulisan check back soon, saya kecewa karna saya telah berlangganan tapi anime tidak lengkap😠"
Gamzz Rill,2025-06-23,1,kebanyakan prem
Rifasya Syahran,2025-06-22,4,lengkapin sub Indonesia biar nyaman
Firman Setiadi Dilapanga,2025-06-22,5,Menurut saya ini applikasi yg menarik dan terbaik untuk menonton anime walopun bnyak iklannya ya gpp namanya jg free btw saya bukan wibu ya
Muhammad Wanputra,2025-06-22,4,oke
Cylent 123,2025-06-22,1,aplikasi nonton iklan
Kikyo Yasaya.,2025-06-22,5,"overall udah bagus sih, tapi kadang subtitle nya agak delay, kaga pas.. tapi ga tau di subtitle salain bahasa Indonesia"
Shuwis,2025-06-21,2,srius ga semua anime ada di sini?? harusnya juga anime jadul tetap ada
irsyad septiawan,2025-06-21,5,good
gibran official,2025-06-21,1,"saya ngga perna langganan tapi uang saya di tarik 360k, saya minta uang saya dikembalikan"
Rocky Baadilla,2025-06-21,3,"tadi saya terkendala tidak bisa masuk apk nya dan terus stuck buffering walaupun saya sudah hapus cache dan relog berulang, namun nihil tetap saja buffering sampai forclose padahal sinyal saya lancar lancar saja dan sudah update apk dari PlayStore. oh ya kasusnya itu kayaknya tadi gara² saya matikan data seluler lalu login apk karena saya ingin menonton mode offline, lalu saya nyalakan lagi data saya dan boom langsung forclose dan kejadian seperti cerita yg tadi saya ceritakan. Mohon di fix🙏🏼"
Illan Budiana,2025-06-21,4,untuk sementara aku kasih bintang 4 dulu karena anime nya lumayan lengkap lah yah karena enggak ada Digimon tolong tambahin Digimon nanti yah
Hfdz Wbw,2025-06-21,3,ga semua ada subtitle bahasa indonesianya
Mohamad Rizky,2025-06-21,1,"apk jelek,saat saya memasukan email dengan sandi,Sanda katanya tidak valid,padahal saya sudah benar memasukannya,jika anda mengatakan ""masukan sandi lebih teliti"" maka anda developer sybau"
Propil ADI,2025-06-21,1,saya gabisa masuk gob
Good Trick,2025-06-21,5,Keren
Abdullah Iman udin,2025-06-21,1,b1 aja soalnya harus serba premium jadi males
