bintang,komentar,label
1,jelekkk ga tokyo ghoul,negatif
5,aplikasi bagus anime lengkap kualitas bagus bayar bulan trgolong murah,positif
1,aplikasi bagus anime terlalu sedikit kurang sih,negatif
1,aplikasi sangat jelas,negatif
2,kirain gratis semua filem gak tau bayar eumm,negatif
1,hapus anime detective conan,negatif
2,aplikasi gak login padahal udah masuk imel udah benar aplikasi gak buka kata sandi imel betul eror aplikasi baik aplikasi,negatif
5,muas,positif
1,harap baik subtitle indonesia,negatif
1,anime ku tonton contoh anime tokyo ghoul server indonesia chek website ku tekan malah tulis check back soon kecewa karna langgan anime lengkap,negatif
1,banyak prem,negatif
4,lengkapin sub indonesia biar nyaman,positif
5,applikasi yg tarik baik tonton anime walopun bnyak iklan gpp nama jg free btw bukan wibu,positif
4,oke,positif
1,aplikasi nonton iklan,negatif
5,overall udah bagus sih kadang subtitle delay kaga pas ga tau subtitle salain bahasa indonesia,positif
2,srius ga semua anime sini harus anime jadul tetap,negatif
5,good,positif
1,ngga perna langgan uang tarik minta uang kembali,negatif
4,kasih bintang dulu anime lumayan lengkap yah enggak digimon tambahin digimon yah,positif
1,apk jelek pasu email sandi sanda kata valid padahal benar pasu kata masuk sandi lebih teliti developer sybau,negatif
1,gabisa masuk gob,negatif
5,keren,positif
1,soal serba premium jadi males,negatif
2,anime tdk lengkap subtitle telat ayo kata kelas crunchyyroll masa kalah sama apk biru belah,negatif
5,kece,positif
5,recommended buat ngerasa salah abis nonton anime masterpiece baja nonton frieren dulu baja terus ga enak rasa iseng langgan crunchyroll nyata worth it banget sekarang rewatch anime fav misal naruto tensura frieren solo leveling banyak anime populer ditayangin sini kalo ga punya uang pake,positif
2,benar bagus apk sayang satu bayar yg apk belah gak bayar,negatif
5,sangat bagus,positif
5,memang baik kau,positif
1,gk bisak masuk udah masukin gimana ko tetep gk bisak malah muncul info akun terus padahal udah bener semua gimana sampahhhhhh,negatif
1,gak rasa langgan aplikasi malah kena tagih dana langsung kurang uang,negatif
1,terlalu banyak premium banyak cuman episode yg premium premium bahkan anime yg semua episode premium banyak yg pakai aplikasi tonton gratis banyak anime jadi premium,negatif
2,maksud coba gratis hari apa bayar hari pas awal gratis,negatif
5,mantap,positif
1,iklan sejagad raya mana lama,negatif
5,new update support device core samsung mobile,positif
5,aplikasi sangat cocok orangorang tonton anime budget murah kualitas bagus,positif
1,udh capekcapek download malah gak masukpadahal kata sandi sama email bener udh coba kali kali tetap,negatif
1,burukk,negatif
5,the application is good,positif
4,defoloper crunchyroll lengkap filem yg udah utuk lengkap selesai contoh demon sleyer cmn hasira batu padah udah tamat filem,positif
1,ngga cocok,negatif
1,anjirr gq udah langgan nonton vidio premium jirr apk rusak,negatif
1,jangan download guys aplikasi langsung nyedot uang dana kamu uang sedot jir padahal kaga beli,negatif
1,woi balikin duit mau bayar online malah dh bayar sama ni apk,negatif
1,banyak video premium kecewa berat,negatif
1,lebih banyak nonton iklan wkwkk konyol,negatif
1,tahu cara premium jadi tonton anime blue lock season,negatif
1,baru download udah banyak iklan subtittle ngawur gak urut kan bahasa indonesia,negatif
5,bagus lengkap,positif
2,iklan panjang anjir durasi,negatif
5,iklan terlalu banyak kalo sekali iklan jangan banyak banget iklan banyak banget,positif
1,aplikasi sangat jelek,negatif
4,bagus kurang lengkap,positif
1,apk dahh udah download videonyaa hapus sendiri aneh,negatif
5,the best,positif
5,no indonesia subtitle so sad,positif
1,gimana sih padahal buat akun sandi bener salah aneh,negatif
1,langgan makin mahal sering crash servernya guna free iklan banyak banget periklanya detik niat buat santai mah malah nonton iklan,negatif
1,gk masuk sama sekali masuk kan akun kali kali tetap valid padahal benar loh udh buat,negatif
