komentar,label,label_prediksi
knp ga buka ingat gabisa nonton kata klo ga play store download play store ko,positif,negatif
satu kata mantap minus beberapa anime durasi cuma menit doang beberapa anime search kayak contoh kanon,positif,positif
mntap,positif,positif
emang seruu sih buat nonton cumaaa plis masaaa updateee mulu,negatif,positif
bagus,positif,positif
bom bahasa indonesia,negatif,positif
mantap gan,positif,positif
udah premium pas ga langgan ga dapet iklan tapiii nungguin detik apa apan abis update aplikasi jadi gin saran buat developer ads iklan jangan buat lama,negatif,negatif
kurang lengkap bgus kurang iklan,positif,positif
good,positif,positif
bgs bgt aplikasi takut kalo jdi bayar aplikasi,positif,positif
apa ngeban ban kan nyari anime,negatif,positif
klo ngasih anime yg komplit napa banyak judul anime apk yg gaada tambahin lahh masa kalah ama webapk ilegal,negatif,positif
bagus new updatenya lama,positif,positif
bagus banget pake nonton enim,positif,positif
kocak ilegal,negatif,positif
bagus,positif,positif
nunggu dapet kunci jadi detik,negatif,negatif
apk yg paling banyak ngebab,negatif,positif
udah liat iklan berkalikali gak dapet kunci pas dapet kunci video hitam cuman suara doang,negatif,positif
bagus banget apa hari animenya rilis apa kasih saran saran anime bagus bgt behhh,positif,positif
aplikasi bagus karna wibu,positif,positif
no sss no rating,negatif,positif
aplikasi bagus fiturnya lumayan sayang anime gada lengkap,positif,positif
maaf baru ngasih ulas aplikasi bagus knapa sekarang buka susah masuk woyy gimana,positif,positif
bagus,positif,positif
yosh bagus banget,positif,positif
bagus walawpun iklan lama,positif,positif
apa dah update lancar lancar sekarang udah kayak sampah,negatif,negatif
suka ngelag ngelag ni apk padahal sinyal bagus ko ga buka apknya heran,negatif,negatif
kerenn sii,positif,positif
banyak sedia anime update lumayan cepat,positif,negatif
kagak buka anjir app ngestuck bagi awal logo terus jadi uninstal padahal udah banyak nonton anime situ terus tinggal lanjut anime season malah app rusak,negatif,negatif
download,positif,positif
apk full bug,negatif,negatif
mantap wibu rumah,positif,positif
kadang payah kali masuk padahal seru nonton,positif,negatif
turut bagus sicuman kurang lengkap animenya,positif,positif
walaupun nonton anime yg hd premium harga premium ny murah jangkau kantong siswa siswi,positif,positif
ga kumpulit lol,negatif,negatif
woy sekarang wibuku aneh soal putih putih atas,positif,positif
